Denominazione,Codice fiscale,Natura giuridica,Comune,Codice Ateco,Classe Valore della Produzione,Classe di Addetti,Classe di Capitale,Costituzione Impresa,Sezione Startup,Tag
DOCSY S.R.L.,03060660994,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,non disponibile,non disponibile,5K-10K euro,26/01/2026,10/02/2026,
GENERATIVE BIONICS S.R.L.,02966510998,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),289920,1-100K euro,0-4 addetti,10K-50K euro,17/07/2024,05/08/2024,"humanoidrobotics, physicalai, mechatronics"
ROMERO FOOD SRL SOCIETA' BENEFIT,02955020991,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),721029,1-100K euro,5-9 addetti,10K-50K euro,21/05/2024,06/02/2026,
FARMA NERVI SRL,03059330997,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),721010,non disponibile,non disponibile,5K-10K euro,22/01/2026,03/02/2026,
KZTECH S.R.L.,03055860997,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,non disponibile,non disponibile,1-5K euro,14/01/2026,04/02/2026,
DORG S.R.L.,02746630991,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,100K-500K euro,0-4 addetti,10K-50K euro,13/05/2021,24/05/2021,"AI, MachineLearning"
ADEL S.R.L.,02937280994,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,100K-500K euro,0-4 addetti,5K-10K euro,14/02/2024,05/03/2024,"MachineLearning, BigData, Marketing"
EMOZIONI S.R.L.,02964780999,SOCIETA' A RESPONSABILITA' LIMITATA,CASARZA LIGURE (GE),721029,non disponibile,non disponibile,5K-10K euro,04/07/2024,22/01/2026,"Nautica, SERVIZI, ECOMMERCE"
MAREMAGNUM SRL SOCIETA' BENEFIT,01598110110,SOCIETA' A RESPONSABILITA' LIMITATA,LA SPEZIA (SP),639100,non disponibile,non disponibile,5K-10K euro,15/12/2025,20/01/2026,
SEMPLIFICA SRL,01794840080,SOCIETA' A RESPONSABILITA' LIMITATA,DIANO MARINA (IM),621000,1-100K euro,non disponibile,50K-100K euro,10/04/2024,13/08/2024,"IA, DataMining, analisigestionale"
CHOICE ACADEMY S.R.L.,02877270997,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),622010,1-100K euro,0-4 addetti,10K-50K euro,29/03/2023,20/04/2023,"Formazione, edutech, IA"
B SOLUTIONS TECHNOLOGY SRL SOCIETA' BENEFIT,01929740098,SOCIETA' A RESPONSABILITA' LIMITATA,VARAZZE (SV),621000,non disponibile,non disponibile,5K-10K euro,10/10/2025,10/12/2025,"SmartCity, DigitalizzazionePA, IntelligenzaArtificiale"
TRICK BOX S.R.L.,02950240990,SOCIETA' A RESPONSABILITA' LIMITATA,CHIAVARI (GE),275200,non disponibile,non disponibile,10K-50K euro,15/04/2024,17/12/2024,Sanificazione
NIO FOUNDRY S.R.L.,03048970994,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),721029,non disponibile,non disponibile,10K-50K euro,16/12/2025,19/12/2025,"EnergyIntelligence, ArtificialIngelligence, Robotics"
REGENERA SOCIETA' COOPERATIVA,03046110999,SOCIETA' COOPERATIVA,GENOVA (GE),032101,non disponibile,non disponibile,non disponibile,17/11/2025,23/12/2025,
TARGET FITNESS S.R.L.,03046820993,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),931309,non disponibile,non disponibile,10K-50K euro,26/11/2025,24/12/2025,
NEOEAST SRL,01597490117,SOCIETA' A RESPONSABILITA' LIMITATA,LA SPEZIA (SP),721029,non disponibile,non disponibile,10K-50K euro,25/11/2025,23/12/2025,
EFB2 S.R.L.,03031750999,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),552041,non disponibile,non disponibile,1-5K euro,04/08/2025,07/08/2025,"Travel, turismosostenibile, TinyHouse"
ADDPLUS GROUP S.R.L.,02880460999,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,1-100K euro,0-4 addetti,10K-50K euro,11/04/2023,01/12/2025,
PROGETTO NORIS SOCIETA' BENEFIT S.R.L.,03044210999,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),639100,non disponibile,non disponibile,1-5K euro,03/11/2025,24/11/2025,
PHOTON SOLAR SYSTEMS SOCIETA' BENEFIT S.R.L.,03008900999,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,non disponibile,non disponibile,1-5K euro,13/03/2025,27/03/2025,"EnergiaRinnovabile, solare, energiaelettrica"
MAKING ENERGY AVAILABLE S.R.L.S.,03020130997,SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,GENOVA (GE),721029,non disponibile,non disponibile,1-5K euro,20/05/2025,19/11/2025,
DELTA TRIBE SRL,03044600991,SOCIETA' A RESPONSABILITA' LIMITATA,RECCO (GE),621000,non disponibile,non disponibile,10K-50K euro,06/11/2025,19/11/2025,
E.GP SRL,02881570994,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),953110,100K-500K euro,0-4 addetti,1-5K euro,12/04/2023,15/05/2023,"Elettronica, Meccanica, Meccatronica"
RENUEVA S.P.A.,02932750991,SOCIETA' PER AZIONI,GENOVA (GE),749932,1-100K euro,0-4 addetti,250K-500K euro,29/01/2024,24/05/2024,Rinnovabili
KE TECHNOLOGY SOCIETA' A RESPONSABILITA' LIMITATA,03038520999,SOCIETA' A RESPONSABILITA' LIMITATA,CAMPO LIGURE (GE),293200,non disponibile,non disponibile,5K-10K euro,01/10/2025,12/11/2025,
SOUND & BUZZ SRL,03026920995,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),NC,non disponibile,non disponibile,5K-10K euro,04/07/2025,30/10/2025,"inclusione, games, Disability"
KAIROS AI SOCIETA' BENEFIT S.R.L.,03038560995,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,non disponibile,non disponibile,5K-10K euro,29/09/2025,16/10/2025,"AI, SOFTWARE"
INSAID S.R.L.,03042350995,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,non disponibile,non disponibile,5K-10K euro,22/10/2025,04/11/2025,
SINTIA LAB S.R.L.,02920040991,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,500K-1M euro,10-19 addetti,50K-100K euro,20/12/2023,02/01/2024,"Manufacturing, ARTIFICIALINTELLIGENCE, CONSULENZA"
FANCY TRUCK S.R.L.,02963150996,SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,GENOVA (GE),621000,1-100K euro,non disponibile,10K-50K euro,27/06/2024,24/10/2025,
VELTO S.R.L.,03040800991,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,non disponibile,non disponibile,10K-50K euro,10/10/2025,20/10/2025,
SOMEONE BY THE SEA S.R.L.,03039200997,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),721029,non disponibile,non disponibile,5K-10K euro,03/10/2025,23/10/2025,
FABRIC S.R.L.,01823560089,SOCIETA' A RESPONSABILITA' LIMITATA,DIANO MARINA (IM),621000,non disponibile,non disponibile,1 euro,18/09/2025,15/10/2025,
TACKPAY S.R.L.,02586000990,SOCIETA' A RESPONSABILITA' LIMITATA,NE (GE),622010,1-100K euro,non disponibile,10K-50K euro,18/01/2019,28/01/2019,"Payment, Fintech, HoReCa"
TSUBOMI S.R.L.,03037150996,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,non disponibile,non disponibile,10K-50K euro,22/09/2025,09/10/2025,"SOFTWARE, SOSTENIBILITA, CONSULENZA"
WEATHER WATER SAND - SOCIETA' A RESPONSABILITA' LIMITATA,02775270990,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),721029,100K-500K euro,non disponibile,10K-50K euro,05/11/2021,15/11/2021,"OilandGas, RenewableEnergies, Research&Development"
EPS ENGINEERING SYSTEMS SRL,02772290991,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),261100,non disponibile,non disponibile,5K-10K euro,15/10/2021,04/11/2021,"sistemisaldatura, mascheraattiva"
NEW VOIP S.R.L.,01926500099,SOCIETA' A RESPONSABILITA' LIMITATA,GIUSTENICE (SV),621000,non disponibile,non disponibile,1-5K euro,25/07/2025,03/09/2025,"VOIP, RETINTERNET, IntegrazioneSoftware"
LIDIA S.R.L.,02976860995,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,1-100K euro,0-4 addetti,"1M-2,5M euro",07/10/2024,16/09/2025,"LEGALAI, ComplianceLegale"
AGARIC LIFE SCIENCES S.R.L.,01852340098,SOCIETA' A RESPONSABILITA' LIMITATA,PIETRA LIGURE (SV),721029,1-100K euro,non disponibile,50K-100K euro,03/02/2022,16/05/2023,farmaceutica
FUNDO.ONE S.R.L.,03036200990,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,non disponibile,non disponibile,10K-50K euro,15/09/2025,23/09/2025,
LIRA CAPITAL S.R.L.,03035000995,SOCIETA' A RESPONSABILITA' LIMITATA,CHIAVARI (GE),621000,non disponibile,non disponibile,5K-10K euro,09/09/2025,24/09/2025,
SPX INNOVA S.R.L.,03027080997,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,non disponibile,non disponibile,5K-10K euro,04/07/2025,18/07/2025,"ICT, Educational, DigitalTransformation"
COMPETITORS SB S.R.L.,02937690994,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),639100,non disponibile,non disponibile,5K-10K euro,08/02/2024,26/02/2024,"SOFTWARE, SOCIALMEDIA, MARKETPLACE"
CACTUS HOLDING S.R.L.,02798440992,SOCIETA' A RESPONSABILITA' LIMITATA,RAPALLO (GE),639100,100K-500K euro,0-4 addetti,5K-10K euro,14/02/2022,21/02/2022,"Digitalizzazione, Ecommerce, eCommerceMarketing"
FLIPALL S.R.L.,01923050098,SOCIETA' A RESPONSABILITA' LIMITATA,QUILIANO (SV),621000,non disponibile,non disponibile,5K-10K euro,16/05/2025,16/09/2025,
E.ROI SRL,02723490997,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,1M-2M euro,0-4 addetti,5K-10K euro,28/01/2021,19/09/2025,
IAMA THERAPEUTICS S.R.L.,02775040997,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),721010,1-100K euro,0-4 addetti,100K-250K euro,29/10/2021,16/11/2021,"Pharmaceuticals, Neuroscience, orphandrugs"
RENRISK S.R.L.,02799350992,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,100K-500K euro,non disponibile,5K-10K euro,17/02/2022,22/08/2022,"ENERGIA, metallurgica, chimicaindustriale"
GREEN FUTURE S.R.L.,03031840998,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),749932,non disponibile,non disponibile,10K-50K euro,05/08/2025,05/09/2025,
DOCSPACE SOCIETA' A RESPONSABILITA' LIMITATA,02646920997,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,100K-500K euro,5-9 addetti,5K-10K euro,26/11/2019,11/04/2023,"BUSINESSINTELLIGENCE, ARTIFICIALINTELLIGENCE, DataAnalysis"
FOR PETZ S.R.L.,02897010993,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),639100,1-100K euro,non disponibile,1-5K euro,13/07/2023,26/07/2023,"ECOMMERCE, prenotazioneservizi"
MAGIC MATRIX S.R.L.,02971270992,SOCIETA' A RESPONSABILITA' LIMITATA,CHIAVARI (GE),582100,1-100K euro,non disponibile,1-5K euro,09/09/2024,26/09/2024,"APP, game"
NOVEO S.R.L. SOCIETA' UNINOMINALE,01870950092,SOCIETA' A RESPONSABILITA' LIMITATA,MILLESIMO (SV),621000,500K-1M euro,5-9 addetti,10K-50K euro,10/01/2023,30/03/2023,"IoT, Cloud, Industria40"
WIDECONS S.R.L.,02916720994,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,1-100K euro,0-4 addetti,5K-10K euro,27/11/2023,12/12/2023,"DIGITAL, GREEN, LeanProcess"
TENDERTEE S.R.L.,02837110994,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),309220,1-100K euro,non disponibile,10K-50K euro,12/09/2022,19/09/2022,"bicicilette, INNOVAZIONE, veicoliinnovativi"
LEVEL UP S.R.L.,02762540991,SOCIETA' A RESPONSABILITA' LIMITATA,CHIAVARI (GE),639100,1-100K euro,non disponibile,5K-10K euro,11/08/2021,29/09/2021,"fitness, fitnessonline"
DIGITAL HORECA S.R.L.,03016250999,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,non disponibile,non disponibile,250K-500K euro,29/04/2025,15/05/2025,"digitalizzazioneHORECA, Chatbot, IntelligenzaArtificiale"
GREENSKY S.R.L. SOCIETA' UNIPERSONALE,02739730998,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),711220,1-100K euro,non disponibile,10K-50K euro,15/04/2021,26/04/2021,"AEROSPAZIO, eVTOL, ElectricPropulsion"
BW REVOLUTION S.R.L. - IN LIQUIDAZIONE,02750220994,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,100K-500K euro,0-4 addetti,5K-10K euro,31/05/2021,06/09/2023,"Technology, SoftwareInnovativo, Development"
IPPOFARM SRL,02866180991,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,1-100K euro,non disponibile,100K-250K euro,07/02/2023,15/02/2023,"CloudNative, Softwaremedicale, softwareenterprise"
KNOWTECH S.R.L.,02951230990,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,non disponibile,non disponibile,5K-10K euro,19/04/2024,22/05/2024,INNOVAZIONE
GOTEC SRL,01845700093,SOCIETA' A RESPONSABILITA' LIMITATA,SAVONA (SV),621000,1-100K euro,non disponibile,5K-10K euro,28/10/2021,27/01/2022,"RetailTech, Solutions, Advisory"
IRON-METRO S.R.L.,02879920995,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),721029,1-100K euro,non disponibile,50K-100K euro,12/04/2023,20/04/2023,"Tecnologia, Misura, Serramenti"
DEEPLEEY S.R.L.,02843530995,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,1-100K euro,0-4 addetti,5K-10K euro,18/10/2022,02/11/2022,"ArtificialIngelligence, DecisionSupportSystem, BigData&Analitics"
MED 2 S.R.L.,02894820998,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),639100,non disponibile,non disponibile,5K-10K euro,03/07/2023,27/07/2023,"PiattaformaSoftware, MEDICINALAVORO"
SMARTARGETS S.R.L.,02703560991,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),721029,500K-1M euro,non disponibile,5K-10K euro,20/10/2020,27/10/2020,"BIM, Laser, Construction"
GESTECH S.R.L.,02871990996,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,1-100K euro,non disponibile,10K-50K euro,28/02/2023,27/03/2023,"INNOVAZIONE, TECH, Navigazione"
UB-EX S.R.L.,02768050995,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),639100,100K-500K euro,5-9 addetti,250K-500K euro,22/09/2021,05/10/2021,"delivery, mezzielettrici, ECOSOSTENIBILE"
GUIDANCE S.R.L.,02874960996,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,100K-500K euro,0-4 addetti,5K-10K euro,14/03/2023,04/09/2024,"TECNOLOGIA, SOFTWARE, ECOMMERCE"
METHYDOR S.R.L.,02763830995,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),252200,100K-500K euro,0-4 addetti,10K-50K euro,01/09/2021,14/09/2021,"Hydrogen, EnergyStorage, RenewableEnergies"
H2BOAT S.R.L.,02675010991,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),279009,100K-500K euro,0-4 addetti,100K-250K euro,22/04/2020,27/04/2020,"nautical, comfort, cleanenergy"
TRAXED ITALIA S.R.L.,01780910087,SOCIETA' A RESPONSABILITA' LIMITATA,SANREMO (IM),621000,1-100K euro,non disponibile,5K-10K euro,07/08/2023,06/09/2023,"Blockchain, SupplyChain, Traceability"
BNBKIT S.R.L.,02872630997,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,100K-500K euro,10-19 addetti,10K-50K euro,08/03/2023,15/11/2024,ServiziAlleImprese
AIT EUROPA ENGINEERING S.R.L.,02637640992,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),282110,500K-1M euro,0-4 addetti,5K-10K euro,25/09/2019,24/10/2019,"metallica, metalmeccanica, economiacircolare"
DBSPACE S.R.L.,02757880998,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),721029,100K-500K euro,0-4 addetti,5K-10K euro,13/07/2021,27/07/2021,"Aerospace, Turbomachinery, Cleantech"
K2 CAPITAL S.R.L.,01530700119,SOCIETA' A RESPONSABILITA' LIMITATA,LA SPEZIA (SP),639100,100K-500K euro,non disponibile,10K-50K euro,11/10/2021,15/11/2021,"FinTech, Acceleratore, Eventi"
LA LUNA DEL GRANO S.R.L. SOCIETA' BENEFIT,02856750993,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),702009,1-100K euro,non disponibile,10K-50K euro,10/01/2023,25/01/2023,WelfareAziendale
KEYNESIA ENERGY S.R.L.,02872370990,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),702009,500K-1M euro,5-9 addetti,"2,5M-5M euro",07/03/2023,29/03/2023,"EnergyEfficiency, ENERGIERINNOVABILI, ENERGIA"
W23 S.R.L.,02868940996,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,non disponibile,non disponibile,100K-250K euro,21/02/2023,24/02/2023,COMMERCIOELETTRONICO
SEKUREST S.R.L.,03979370925,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),629009,1-100K euro,0-4 addetti,10K-50K euro,09/09/2021,04/11/2021,Turismo
DATATTIVA SOCIETA' A RESPONSABILITA' LIMITATA,02721990998,SOCIETA' A RESPONSABILITA' LIMITATA,SESTRI LEVANTE (GE),621000,500K-1M euro,5-9 addetti,1-5K euro,28/02/2021,22/03/2021,"SOFTWARE, ARTIFICIALINTELLIGENCE, CLOUD"
FM SAFETY SRL,01551850116,SOCIETA' A RESPONSABILITA' LIMITATA,SARZANA (SP),329910,1-100K euro,0-4 addetti,5K-10K euro,26/01/2023,12/10/2023,InnovativeStartup
GIERRE S.R.L.,02831080995,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,non disponibile,non disponibile,10K-50K euro,25/07/2022,27/07/2022,piattaformatecnologicainnovativa
ISEMG S.R.L.,01793790088,SOCIETA' A RESPONSABILITA' LIMITATA,SANREMO (IM),721010,non disponibile,non disponibile,10K-50K euro,22/03/2024,14/08/2024,Ricerca&sviluppo
SPACE V S.R.L.,02754940993,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),721029,500K-1M euro,0-4 addetti,1-5K euro,29/06/2021,05/07/2021,"SPAZIO, SERRE"
DORIAN TECHNOLOGIES S.R.L.,02699150997,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),721010,1-100K euro,0-4 addetti,10K-50K euro,01/10/2020,08/10/2020,imageprocessing
ETET S.R.L. SOCIETA' BENEFIT,02868190998,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),629009,1-100K euro,non disponibile,10K-50K euro,14/02/2023,27/02/2023,"AI, voicebot, languagetechnologies"
XINA S.R.L.,02773860990,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),475510,500K-1M euro,0-4 addetti,1-5K euro,21/10/2021,04/11/2021,"Arredamento, Progettazione, ai"
ARIELE CHARTER S.R.L.,02887690994,SOCIETA' A RESPONSABILITA' LIMITATA,RAPALLO (GE),772102,1-100K euro,0-4 addetti,5K-10K euro,16/05/2023,30/05/2023,SVILUPPOSOFTWARE
DEINOS S.R.L.,02869940995,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),289920,1-100K euro,non disponibile,1-5K euro,21/02/2023,01/03/2023,"esoscheletro, INDUSTRIA, AGRICOLTURA"
DOCUDROP ITALY S.R.L.,02864110990,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,100K-500K euro,0-4 addetti,5K-10K euro,01/02/2023,10/02/2023,TECH
AVGP MARKETING GROUP S.R.L.,02896170996,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,100K-500K euro,non disponibile,10K-50K euro,13/07/2023,27/07/2023,"CreatorEconomy, InfluencerMarketing, PiattaformaSoftware"
CIGUALA SRL,02744460995,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),639100,100K-500K euro,0-4 addetti,"1M-2,5M euro",04/05/2021,17/05/2021,"Food&Beverage, B2B, FoodManagement"
ZENARES S.R.L.,02730270994,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),721029,1-100K euro,non disponibile,10K-50K euro,02/03/2021,08/03/2021,"Softwaremedicale, DispositiviMedicali"
HYPERSOFT INFORMATION SYSTEMS S.R.L.,01725690083,SOCIETA' A RESPONSABILITA' LIMITATA,IMPERIA (IM),582900,100K-500K euro,0-4 addetti,1-5K euro,17/11/2020,06/12/2022,Software
PESTOP S.R.L.,02822420994,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),721029,non disponibile,non disponibile,1-5K euro,03/06/2022,08/06/2022,"FoodMadeInItaly, ALIMENTARE, MADEINITALY"
BLU DIGITALPRESS S.R.L.,11038910961,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),181200,100K-500K euro,0-4 addetti,5K-10K euro,07/11/2019,13/11/2019,stampa
FUSION AI LABS S.R.L.,03020730994,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,non disponibile,0-4 addetti,100K-250K euro,22/05/2025,16/06/2025,
BATRED S.R.L.,02727110997,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),351,1-100K euro,non disponibile,10K-50K euro,10/02/2021,22/02/2021,"ENERGIARINNOVABILE, MOTOONDOSO, Greenenergy"
FOREGESTALT S.R.L.,02710820990,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),221200,1-100K euro,non disponibile,1-5K euro,03/12/2020,16/12/2020,"Health, Parafarmaceutico, WellBeingAndHumanPerformance"
KIDARIA BIOSCIENCE SRL,01542720113,SOCIETA' A RESPONSABILITA' LIMITATA,MONTEROSSO AL MARE (SP),204200,1-100K euro,non disponibile,10K-50K euro,31/05/2022,25/01/2023,"SKINCARE, antiagingskincare, COSMETICA"
GERRISBOATS S.R.L.,02722190994,SOCIETA' A RESPONSABILITA' LIMITATA,LAVAGNA (GE),721029,100K-500K euro,0-4 addetti,100K-250K euro,08/02/2021,09/03/2021,"ELECTRICVEHICLE, taxi, Disabili"
MYWAI S.R.L.,02727730992,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,2M-5M euro,20-49 addetti,100K-250K euro,18/02/2021,01/03/2021,"IOT, AI, EaaS"
TAINERLIFT S.R.L.,03014240992,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),282209,non disponibile,non disponibile,50K-100K euro,15/04/2025,11/06/2025,"Automazione, logisticasostenibile, MECCANICA"
P&P SRL,01794650083,SOCIETA' A RESPONSABILITA' LIMITATA,IMPERIA (IM),969999,1-100K euro,non disponibile,10K-50K euro,08/04/2024,03/05/2024,"psicologiaonline, SALUTE"
PROMAMA S.R.L.,02888990997,SOCIETA' A RESPONSABILITA' LIMITATA,LAVAGNA (GE),621000,1-100K euro,non disponibile,1-5K euro,29/05/2023,08/06/2023,"HRTech, DE&I"
MISSOUN S.R.L.,02907230995,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,100K-500K euro,0-4 addetti,5K-10K euro,28/09/2023,10/10/2023,"RealtaAumentata, configuratore3d"
LUMIBEAR S.R.L.,01817280082,SOCIETA' A RESPONSABILITA' LIMITATA,SEBORGA (IM),621000,non disponibile,non disponibile,1 euro,29/04/2025,03/06/2025,
PROGETTO ISIDE SOCIETA' BENEFIT S.R.L.,03019540990,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,non disponibile,0-4 addetti,1-5K euro,13/05/2025,03/06/2025,
NEED MODEL SOLUTION SOCIETA' A RESPONSABILITA' LIMITATA,03020400994,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),722009,non disponibile,non disponibile,5K-10K euro,22/05/2025,27/05/2025,
